t,h,dx,dy,X,Y,FPS
4.1066,20.00,0.00,0.00,0.80,0.27,59
4.1167,20.00,0.00,0.00,0.80,0.27,60
4.1949,20.00,0.00,0.00,0.80,0.27,59
4.2021,20.00,0.00,0.00,0.80,0.27,60
4.2117,20.00,0.00,0.00,0.80,0.27,61
4.2228,20.00,0.00,0.00,0.80,0.27,61
4.2434,20.00,0.00,0.00,0.80,0.27,61
4.2554,20.00,0.00,0.00,0.80,0.27,61
4.2699,20.00,0.00,0.00,0.80,0.27,61
4.2833,20.00,0.00,0.00,0.80,0.27,61
4.2956,20.00,0.00,0.00,0.80,0.27,61
4.3074,20.00,0.00,0.00,0.80,0.27,62
4.3253,20.00,0.00,0.00,0.80,0.27,62
4.3343,20.00,0.00,0.00,0.80,0.27,62
4.3487,20.00,0.00,0.00,0.80,0.27,62
4.3620,20.00,0.00,0.00,0.80,0.27,62
4.3762,20.00,0.00,0.00,0.80,0.27,62
4.3845,20.00,0.00,0.00,0.80,0.27,63
4.3959,20.00,0.00,0.00,0.80,0.27,63
4.4130,20.00,0.00,0.00,0.80,0.27,63
4.4216,20.00,0.00,0.00,0.80,0.27,64
4.4324,20.00,0.00,0.00,0.80,0.27,64
4.4431,20.00,0.00,0.00,0.80,0.27,64
4.4705,20.00,0.00,0.00,0.80,0.27,64
4.5719,20.00,0.00,0.00,0.80,0.27,63
4.5800,20.00,0.00,0.00,0.80,0.27,64
4.5999,20.00,0.00,0.00,0.80,0.27,64
4.6274,20.00,0.00,0.00,0.80,0.27,64
4.6455,20.00,0.00,0.00,0.80,0.27,63
4.6621,20.00,0.00,0.00,0.80,0.27,63
4.6731,20.00,0.00,0.00,0.80,0.27,64
4.6915,20.00,0.00,0.00,0.80,0.27,64
4.7040,20.00,0.00,0.00,0.80,0.27,64
4.7277,20.00,0.00,0.00,0.80,0.27,64
4.7378,20.00,0.00,0.00,0.80,0.27,64
4.7573,20.00,0.00,0.00,0.80,0.27,64
4.7660,20.00,0.00,0.00,0.80,0.27,64
4.7851,20.00,0.00,0.00,0.80,0.27,64
4.7932,20.00,0.00,0.00,0.80,0.27,65
4.8023,20.00,0.00,0.00,0.80,0.27,65
4.8162,20.00,0.00,0.00,0.80,0.27,65
4.8261,20.00,0.00,0.00,0.80,0.27,66
4.8433,20.00,0.00,0.00,0.80,0.27,66
4.8539,20.00,0.00,0.00,0.80,0.27,66
4.8644,20.00,0.00,0.00,0.80,0.27,66
4.8787,20.00,0.00,0.00,0.80,0.27,66
4.8931,20.00,0.00,0.00,0.80,0.27,66
4.9012,20.00,0.00,0.00,0.80,0.27,67
5.0103,20.00,0.00,0.00,0.80,0.27,66
5.0192,20.00,0.00,0.00,0.80,0.27,67
5.0282,20.00,0.00,0.00,0.80,0.27,67
5.0542,20.00,0.00,0.00,0.80,0.27,67
5.0645,20.00,0.00,0.00,0.80,0.27,67
5.0758,20.00,0.00,0.00,0.80,0.27,67
5.0910,20.00,0.00,0.00,0.80,0.27,67
5.1019,20.00,0.00,0.00,0.80,0.27,67
5.1117,20.00,0.00,0.00,0.80,0.27,68
5.1216,20.00,0.00,0.00,0.80,0.27,68
5.1350,20.00,0.00,0.00,0.80,0.27,68
5.1466,20.00,0.00,0.00,0.80,0.27,68
5.1576,20.00,0.00,0.00,0.80,0.27,69
5.1689,20.00,0.00,0.00,0.80,0.27,69
5.1879,20.00,0.00,0.00,0.80,0.27,69
5.2052,20.00,0.00,0.00,0.80,0.27,69
5.2162,20.00,0.00,0.00,0.80,0.27,69
5.2317,20.00,0.00,0.00,0.80,0.27,69
5.2449,20.00,0.00,0.00,0.80,0.27,69
5.2536,20.00,0.00,0.00,0.80,0.27,69
5.2721,20.00,0.00,0.00,0.80,0.27,69
5.2845,20.00,0.00,0.00,0.80,0.27,69
5.2923,20.00,0.00,0.00,0.80,0.27,70
5.3025,20.00,0.00,0.00,0.80,0.27,70
5.3262,20.00,0.00,0.00,0.80,0.27,70
5.3449,20.00,0.00,0.00,0.80,0.27,70
5.3539,20.00,0.00,0.00,0.80,0.27,70
5.3678,20.00,0.00,0.00,0.80,0.27,70
5.4182,20.00,0.00,0.00,0.80,0.27,69
5.4264,20.00,0.00,0.00,0.80,0.27,70
5.4362,20.00,0.00,0.00,0.80,0.27,70
5.5472,20.00,0.00,0.00,0.80,0.27,70
5.5551,20.00,0.00,0.00,0.80,0.27,70
5.5698,20.00,0.00,0.00,0.80,0.27,70
5.5818,20.00,0.00,0.00,0.80,0.27,70
5.5901,20.00,0.00,0.00,0.80,0.27,71
5.5993,20.00,0.00,0.00,0.80,0.27,71
5.6161,20.00,0.00,0.00,0.80,0.27,71
5.6238,20.00,0.00,0.00,0.80,0.27,72
5.6402,20.00,0.00,0.00,0.80,0.27,72
5.6524,20.00,0.00,0.00,0.80,0.27,72
5.6695,20.00,0.00,0.00,0.80,0.27,72
5.6862,20.00,0.00,0.00,0.80,0.27,71
5.7061,20.00,0.00,0.00,0.80,0.27,71
5.7338,20.00,0.00,0.00,0.80,0.27,71
5.7479,20.00,0.00,0.00,0.80,0.27,71
5.7578,20.00,0.00,0.00,0.80,0.27,71
5.7762,20.00,0.00,0.00,0.80,0.27,71
5.7862,20.00,0.00,0.00,0.80,0.27,71
5.7967,20.00,0.00,0.00,0.80,0.27,71
5.8213,20.00,0.00,0.00,0.80,0.27,71
5.8418,20.00,0.00,0.00,0.80,0.27,71
5.8925,20.00,0.00,0.00,0.80,0.27,70
5.9112,20.00,0.00,0.00,0.80,0.27,70
5.9275,20.00,0.00,0.00,0.80,0.27,70
5.9377,20.00,0.00,0.00,0.80,0.27,70
5.9496,20.00,0.00,0.00,0.80,0.27,71
5.9604,20.00,0.00,0.00,0.80,0.27,71
5.9712,20.00,0.00,0.00,0.80,0.27,71
5.9856,20.00,0.00,0.00,0.80,0.27,71
5.9972,20.00,0.00,0.00,0.80,0.27,71
6.0076,20.00,0.00,0.00,0.80,0.27,71
6.0740,20.00,0.00,0.00,0.80,0.27,71
6.0832,20.00,0.00,0.00,0.80,0.27,71
6.1003,20.00,0.00,0.00,0.80,0.27,71
6.1164,20.00,0.00,0.00,0.80,0.27,71
6.1320,20.00,0.00,0.00,0.80,0.27,71
6.1485,20.00,0.00,0.00,0.80,0.27,71
6.1582,20.00,0.00,0.00,0.80,0.27,71
6.1802,20.00,0.00,0.00,0.80,0.27,71
6.1982,20.00,0.00,0.00,0.80,0.27,71
6.2127,20.00,0.00,0.00,0.80,0.27,71
6.2234,20.00,0.00,0.00,0.80,0.27,71
6.2373,20.00,0.00,0.00,0.80,0.27,71
6.2518,20.00,0.00,0.00,0.80,0.27,71
6.2624,20.00,0.00,0.00,0.80,0.27,71
6.3363,20.00,0.00,0.00,0.80,0.27,70
6.3446,20.00,0.00,0.00,0.80,0.27,71
6.3549,20.00,0.00,0.00,0.80,0.27,71
6.3669,20.00,0.00,0.00,0.80,0.27,71
6.3747,20.00,0.00,0.00,0.80,0.27,72
6.3949,20.00,0.00,0.00,0.80,0.27,72
6.4099,20.00,0.00,0.00,0.80,0.27,72
6.4181,20.00,0.00,0.00,0.80,0.27,72
6.4331,20.00,0.00,0.00,0.80,0.27,72
